game_id,genre_id
28,36
29,36
30,36
31,36
32,36
33,36
34,36
35,36
36,36
37,36
38,36
39,36
40,36
41,36
42,36
43,36
44,36
45,36
46,36
47,36
48,36
49,36
50,36
51,36
52,36
53,36
54,36
57,63
59,36
60,65
61,65
62,63
63,63
63,69
67,63
68,73
69,63
70,63
71,73
72,36
73,36
74,79
75,79
76,73
77,63
78,79
79,63
80,65
81,65
82,79
83,79
84,79
85,63
86,79
89,65
89,79
90,73
91,63
92,36
93,36
93,63
94,65
95,63
96,63
97,36
98,36
99,36
100,63
101,73
102,63
102,79
103,36
104,65
104,79
105,65
105,63
106,63
107,63
108,63
108,65
109,63
110,63
111,63
112,63
112,65
113,65
114,65
115,63
116,73
116,127
116,65
117,63
118,36
119,63
120,63
121,63
122,63
123,63
124,73
125,73
126,63
127,63
128,63
130,63
132,63
133,63
133,144
133,145
134,63
134,145
135,63
136,63
136,79
137,63
138,63
139,63
140,63
140,155
141,63
142,63
143,63
144,65
145,63
146,63
147,63
148,63
149,36
150,36
151,65
151,79
152,36
153,65
154,73
155,63
156,63
157,36
157,79
158,73
159,73
160,65
160,79
161,65
162,63
163,63
164,79
165,63
166,36
167,73
168,36
169,79
170,63
171,73
172,63
173,65
174,63
175,63
176,36
177,145
178,63
179,63
180,63
181,63
182,63
184,36
185,63
185,36
186,36
187,63
187,69
188,65
188,79
189,63
190,36
191,63
192,63
193,63
194,63
194,65
195,36
196,144
197,65
198,65
199,63
200,65
201,36
202,73
203,65
204,63
205,63
207,65
208,36
209,63
210,63
211,63
212,63
213,65
214,63
215,63
215,73
216,36
217,36
218,36
219,36
220,36
221,36
222,36
223,73
224,63
225,63
226,63
227,65
227,79
228,63
229,79
230,63
231,63
232,79
233,63
234,63
234,79
235,63
236,63
237,36
238,63
239,63
240,65
240,79
241,65
241,79
242,63
242,155
243,36
244,63
245,63
246,63
247,36
248,63
249,36
250,65
251,36
251,65
252,73
253,63
254,145
255,36
257,36
258,36
259,36
260,79
261,63
262,63
263,65
263,79
264,65
265,36
266,145
266,79
267,65
268,63
268,79
269,73
270,63
271,63
271,155
272,63
273,63
273,73
274,145
275,65
276,65
277,73
278,73
279,65
280,36
281,63
282,63
283,73
288,36
289,36
290,36
292,36
293,63
294,63
295,63
295,145
296,63
296,65
297,63
298,63
299,63
300,63
301,63
302,63
303,63
304,63
305,63
308,63
309,36
310,145
312,36
312,79
313,63
314,36
314,79
315,342
316,63
319,73
320,73
321,65
322,65
323,63
324,73
325,63
326,79
327,63
328,63
330,73
330,145
331,63
332,63
333,63
333,145
334,63
335,145
335,79
336,65
338,65
338,79
339,79
340,65
341,36
342,36
343,36
344,65
345,73
347,63
348,63
349,63
350,63
351,63
352,63
353,63
354,73
355,79
356,69
357,36
358,79
361,63
362,63
363,63
364,65
365,65
366,79
367,79
368,79
369,79
370,79
371,65
372,65
373,65
373,79
374,65
374,127
375,65
375,79
376,63
376,155
377,63
378,63
379,63
380,63
381,63
383,63
384,63
385,63
386,63
386,36
386,65
386,79
387,63
388,79
389,36
389,65
390,65
391,65
391,36
392,63
393,145
394,36
395,63
396,65
396,79
397,63
397,73
398,63
399,63
400,63
401,63
402,65
402,79
403,63
404,79
405,65
405,79
406,79
407,63
407,145
408,155
409,155
410,73
411,36
412,63
412,36
413,36
414,63
415,65
416,63
417,63
418,63
419,63
420,63
421,63
422,63
423,63
425,36
426,65
427,73
428,65
429,65
430,65
431,65
432,65
432,79
433,65
433,73
434,65
435,73
436,63
437,36
438,36
439,63
439,65
440,63
440,65
442,65
442,79
444,63
445,79
447,63
447,65
448,155
449,63
450,63
451,36
452,63
453,73
454,63
455,73
456,63
456,36
456,65
457,36
458,155
459,145
459,65
460,145
460,65
460,155
461,63
461,65
463,63
464,36
465,63
465,155
466,36
467,127
467,69
468,63
468,69
471,79
473,36
474,65
475,79
476,36
478,63
479,69
480,63
481,65
481,79
482,65
482,79
