game_id,study_id
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
57,5
56,5
57,6
56,6
57,7
56,7
57,8
56,8
123,10
274,10
291,10
321,10
332,10
346,10
359,10
448,10
471,10
472,10
602,10
575,10
624,10
93,11
57,11
397,11
423,11
490,11
56,11
598,11
249,12
265,12
275,12
329,12
336,12
341,12
436,12
438,12
577,12
55,12
610,12
290,13
473,13
620,13
397,14
598,14
55,15
150,16
174,16
192,16
272,16
281,16
292,16
398,16
419,16
505,16
525,16
552,16
555,16
559,16
498,16
519,16
532,16
562,16
590,16
599,16
537,16
608,16
69,17
74,17
75,17
78,17
82,17
90,17
92,17
95,17
99,17
102,17
104,17
114,17
125,17
144,17
148,17
157,17
158,17
159,17
164,17
227,17
237,17
240,17
241,17
243,17
252,17
257,17
268,17
277,17
280,17
289,17
296,17
297,17
312,17
314,17
326,17
357,17
368,17
396,17
406,17
414,17
415,17
432,17
445,17
456,17
463,17
483,17
484,17
488,17
540,17
491,17
499,17
511,17
541,17
547,17
554,17
558,17
569,17
587,17
597,17
606,17
609,17
612,17
83,18
104,18
151,18
169,18
232,18
340,18
373,18
488,18
506,18
534,18
589,18
413,19
605,19
473,19
620,19
55,20
55,21
31,22
39,22
55,22
31,23
39,23
55,23
260,24
370,24
587,24
80,25
487,25
356,26
97,27
98,27
172,27
210,27
212,27
236,27
242,27
280,27
294,27
62,27
356,27
376,27
408,27
413,27
465,27
476,27
491,27
529,27
542,27
554,27
560,27
64,27
603,27
605,27
622,27
627,27
96,28
97,28
98,28
99,28
165,28
170,28
172,28
186,28
195,28
28,28
211,28
236,28
242,28
247,28
62,28
392,28
408,28
409,28
413,28
437,28
465,28
491,28
512,28
514,28
523,28
23,28
529,28
542,28
545,28
64,28
603,28
605,28
610,28
622,28
442,29
389,30
71,31
70,32
172,33
55,34
55,35
55,36
55,37
68,38
258,39
549,39
71,40
106,40
116,40
163,40
185,40
194,40
223,40
267,40
293,40
309,40
319,40
389,40
450,40
451,40
466,40
522,40
58,40
55,40
616,40
151,42
506,42
55,43
220,44
532,44
430,44
609,44
303,45
563,45
336,46
577,46
76,47
220,48
532,48
55,49
55,50
55,51
337,52
76,53
194,54
467,55
468,55
623,55
198,56
203,56
395,56
55,57
55,58
259,59
413,59
440,59
549,59
605,59
611,59
194,60
55,61
384,62
592,62
55,63
93,64
490,64
216,65
342,65
343,65
55,65
399,66
599,66
216,67
216,68
255,68
417,69
607,69
55,70
67,71
72,71
77,71
79,71
84,71
85,71
86,71
87,71
88,71
89,71
91,71
101,71
105,71
110,71
111,71
119,71
126,71
127,71
128,71
129,71
130,71
131,71
132,71
133,71
134,71
135,71
136,71
137,71
138,71
139,71
140,71
141,71
142,71
145,71
155,71
156,71
160,71
167,71
176,71
182,71
184,71
188,71
190,71
191,71
194,71
196,71
199,71
205,71
214,71
221,71
224,71
226,71
230,71
231,71
233,71
234,71
235,71
239,71
245,71
248,71
250,71
253,71
254,71
283,71
295,71
298,71
301,71
305,71
306,71
308,71
313,71
316,71
318,71
323,71
328,71
334,71
338,71
341,71
371,71
375,71
379,71
380,71
381,71
383,71
387,71
388,71
400,71
401,71
402,71
403,71
407,71
422,71
428,71
447,71
449,71
458,71
473,71
478,71
486,71
489,71
500,71
501,71
583,71
502,71
504,71
508,71
509,71
513,71
517,71
519,71
521,71
524,71
525,71
625,71
531,71
532,71
533,71
539,71
546,71
596,71
548,71
561,71
563,71
565,71
568,71
571,71
487,71
494,71
496,71
520,71
528,71
23,71
535,71
536,71
545,71
555,71
58,71
576,71
577,71
579,71
581,71
584,71
594,71
55,71
588,71
591,71
595,71
599,71
600,71
601,71
608,71
609,71
614,71
615,71
618,71
620,71
171,72
172,72
223,72
225,72
259,72
57,72
364,72
389,72
549,72
56,72
586,72
389,73
358,74
384,75
385,75
592,75
55,76
331,77
574,77
456,78
57,79
56,79
341,80
55,80
71,82
55,83
151,84
506,84
80,85
487,85
55,86
341,87
55,87
80,88
487,88
116,89
116,90
116,91
55,92
341,93
55,93
341,94
55,94
341,95
55,95
57,96
56,96
151,97
172,97
232,97
259,97
62,97
506,97
534,97
549,97
64,97
341,98
55,98
62,100
64,100
80,101
487,101
470,102
112,103
198,103
71,104
80,105
487,105
80,106
487,106
80,107
487,107
80,108
487,108
80,109
487,109
473,110
620,110
112,111
325,112
367,112
587,112
325,113
325,114
341,115
55,115
341,116
55,116
462,116
479,116
57,117
56,117
57,118
56,118
166,120
172,120
219,120
258,120
259,120
372,120
417,120
475,120
532,120
549,120
587,120
589,120
607,120
626,120
183,122
249,122
265,122
311,122
329,122
336,122
341,122
567,122
577,122
55,122
341,124
55,124
55,125
341,126
55,126
225,127
76,128
57,129
56,129
57,130
56,130
55,131
80,132
487,132
389,132
194,133
80,134
487,134
116,135
109,136
177,136
228,136
261,136
262,136
274,136
310,136
344,136
405,136
443,136
446,136
550,136
566,136
613,136
80,137
487,137
80,138
487,138
194,142
194,143
194,144
57,145
56,145
